Loan Application Number,Loan Amount,Loan Duration,Interest Rate,EMI,Borrower Rating by Bank,Borrower's Duration of Employment,Home Ownership of Borrower,Annual Income of Borrower,Borrower's Verification Status,Loan Issue Date,Purpose of Loan,State,Debt-to-Income Ratio (A ratio calculated based on Borrower's monthly debt repayments to self-reported monthly income),Borrower Delinquency in Last Two Years,Date of Borrower's First  Loan,Number of Months Since the Borrower's Last Delinquency,The Number of Months Since the Borrower's Credit Record  was Updated,Number of Times the Borrower has Availed Loan from the Bank,Number of Negative Comments About the Borrower in Credit History,Total Credit Revolving Balance,Percentage of Credit the Borrower is Using Relative to All Available Revolving Credit,Number of Times the Borrower has Availed Loan from All Banks,Late Fees Received To Date,Last Month Payment was Received,Last Amount Received as Payment,Loan Status
24001,66125,43 months,7.47%,1757.588638,AC,10 years and above,Rental,1381823,Source Verified,30-10-2011,Others,Mizoram,13.26142488,0,23-06-1996,,,9,0,185129,0.534366732,26,0,01-07-2014,19891.63864,???
24002,105687,44 months,12.48%,3005.426726,CE,4 years,Rental,858238,Not Verified,30-04-2008,Pay-off Other Loans,Madhya Pradesh,8.526829902,0,19-04-1998,69,63,6,1,53162,0.575943191,26,0,01-12-2010,40986.99673,???
24003,93622,55 months,17.25%,2474.258893,EC,Not available,Rental,268893,Verified,01-09-2010,Pay Credit Card Bill,Uttar Pradesh,15.46142933,0,11-05-2000,,,5,0,101861,0.883818462,4,0,01-09-2011,2474.258893,???
24004,60406,43 months,7.69%,1611.589958,AC,4 years,Rental,702772,Verified,10-01-2012,Others,Uttar Pradesh,5.935632574,2,12-02-1969,11,,7,0,76535,0.195194099,15,0,01-08-2012,5660.689958,???
24005,274028,59 months,19.42%,7244.797853,ED,7 years,Own,587667,Verified,04-08-2011,Start Business,Meghalaya,22.99400621,0,24-06-1995,59,,8,0,6762,0.102033161,23,0,01-12-2013,176598.7079,???
24006,49516,38 months,12.06%,1574.169185,BE,2 years,Rental,564914,Not Verified,20-07-2011,Pay-off Other Loans,Bihar,10.80289434,2,31-05-1993,17,,6,0,55723,0.49854491,25,0,01-05-2013,22971.58918,???
24007,26522,40 months,13.62%,828.6157268,CD,Less than 1 year,Rental,338123.82,Not Verified,05-02-2009,Pay-off Other Loans,West Bengal,5.21879689,0,15-10-2005,,,6,0,63467,0.537307494,12,0,01-05-2012,929.9257268,???
24008,55182,36 months,9.69%,1772.491918,AE,10 years and above,Rental,774094,Not Verified,01-08-2009,Others,Odisha,15.83372547,1,15-11-1988,21,,6,0,105743,0.382325582,16,0,01-06-2012,1861.481918,???
24009,176071,46 months,13.08%,4887.344325,CB,10 years and above,Under Mortgage,732546.28,Not Verified,18-01-2010,Pay-off Other Loans,West Bengal,11.82451711,0,04-07-1996,,,6,0,145748,0.617823414,21,0,01-09-2013,5237.694325,???
24010,87959,60 months,10.47%,1889.255329,BA,3 years,Under Mortgage,660272,Not Verified,19-10-2010,Home Renovation,Haryana,11.0133786,0,27-10-1996,46,,12,0,34681,0.071822193,19,0,01-08-2015,2097.815329,???
